"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000106631.8",11.7075764974337,0.906473052683672,124.099896459066,0,0
"ENSG00000134571.10",11.5412327839757,1.06179214731334,192.67721826107,0,0
"ENSG00000183072.9",11.4979887340314,-2.81889189508074,241.778954100299,0,0
"ENSG00000129991.12",11.3186622237224,1.21930290523842,161.662958568119,0,0
"ENSG00000118194.18",10.7102827253142,2.76493801569231,149.918118830992,0,0
"ENSG00000267110.1",10.5299555940117,0.743976590946141,166.935175058925,0,0
"ENSG00000197616.11",10.3884713644791,3.06085928919077,98.2731502854255,0,0
"ENSG00000159251.6",10.3001923358233,3.68871695362217,140.757734094996,0,0
"ENSG00000205678.7",10.1621155921301,-0.95550808770417,152.51754045923,0,0
"ENSG00000234520.5",9.91363879719157,-4.14512439449543,266.540988546219,0,0
