"","logFC","AveExpr","t","P.Value","adj.P.Val"
"ENSG00000125462.16",10.8074899258262,2.72265093981993,215.983195875653,0,0
"ENSG00000145920.14",10.7507149705346,3.3906876830615,117.885446239876,0,0
"ENSG00000105605.7",10.5589121696336,0.970880997917392,314.436481415333,0,0
"ENSG00000131095.12",10.3367092227397,6.721667521114,102.441769521379,0,0
"ENSG00000176884.14",10.2264361255595,2.595522460748,123.548855099712,0,0
"ENSG00000197430.10",10.1904810880611,0.758049614271336,131.062909786422,0,0
"ENSG00000162728.4",10.1129060421806,1.43312117127075,242.713470261599,0,0
"ENSG00000075043.18",10.0549527592354,2.59356318179163,130.3444733362,0,0
"ENSG00000155980.11",9.97832149647801,4.5971999203133,122.922820920236,0,0
"ENSG00000148798.10",9.92652927135415,1.30822236034346,142.767420724171,0,0
